league,team,players_used,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url
ESP-La Liga,Betis,33,27.7,51.1,21,231,1890,21,21,14,35,18,3,4,46,3,29.6,26.6,20.9,47.5,329,801,1.0,0.67,1.67,0.86,1.52,1.41,1.0,2.41,1.27,2.26,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,Celta Vigo,29,27.6,53.3,21,231,1890,21,29,20,49,27,2,3,50,5,28.5,26.2,21.4,47.6,381,854,1.38,0.95,2.33,1.29,2.24,1.36,1.02,2.38,1.25,2.27,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,Espanyol,26,26.0,40.1,21,231,1890,21,19,15,34,18,1,1,57,0,18.0,17.2,13.4,30.6,273,574,0.9,0.71,1.62,0.86,1.57,0.85,0.64,1.5,0.82,1.46,/en/squads/a8661628/Espanyol-Stats
ESP-La Liga,Getafe,27,27.9,43.2,21,231,1890,21,17,9,26,13,4,4,63,1,20.2,17.1,12.4,29.6,230,568,0.81,0.43,1.24,0.62,1.05,0.96,0.59,1.55,0.82,1.41,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,Girona,28,27.8,58.0,21,231,1890,21,28,20,48,25,3,3,48,1,26.2,24.0,19.3,43.2,423,1009,1.33,0.95,2.29,1.19,2.14,1.25,0.92,2.17,1.14,2.06,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,Las Palmas,28,27.8,52.0,21,231,1890,21,24,17,41,23,1,2,62,2,20.4,18.8,15.0,33.7,281,683,1.14,0.81,1.95,1.1,1.9,0.97,0.71,1.68,0.89,1.61,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,Leganés,23,28.4,41.3,21,231,1890,21,19,17,36,17,2,3,43,3,16.4,14.0,10.7,24.7,216,509,0.9,0.81,1.71,0.81,1.62,0.78,0.51,1.29,0.67,1.18,/en/squads/7c6f2c78/Leganes-Stats
ESP-La Liga,Mallorca,26,29.1,46.0,21,231,1890,21,18,13,31,16,2,2,48,6,22.8,21.3,15.8,37.1,279,656,0.86,0.62,1.48,0.76,1.38,1.09,0.75,1.84,1.01,1.77,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,Osasuna,23,27.9,46.0,21,231,1890,21,23,12,35,19,4,4,53,0,21.9,19.0,15.1,34.1,325,674,1.1,0.57,1.67,0.9,1.48,1.04,0.72,1.76,0.9,1.62,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,Rayo Vallecano,23,29.5,48.8,21,231,1890,21,23,18,41,23,0,0,54,2,23.9,23.9,19.8,43.6,302,712,1.1,0.86,1.95,1.1,1.95,1.14,0.94,2.08,1.14,2.08,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,Real Madrid,26,27.5,61.0,21,231,1890,21,50,37,87,42,8,10,34,2,43.0,35.5,30.5,66.0,514,1083,2.38,1.76,4.14,2.0,3.76,2.05,1.45,3.5,1.69,3.14,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,Real Sociedad,26,26.0,55.9,21,231,1890,21,16,12,28,14,2,2,53,1,24.1,22.6,18.6,41.1,389,800,0.76,0.57,1.33,0.67,1.24,1.15,0.88,2.03,1.07,1.96,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,Sevilla,32,26.7,53.5,21,231,1890,21,21,18,39,20,1,2,56,5,23.7,22.1,16.5,38.6,348,653,1.0,0.86,1.86,0.95,1.81,1.13,0.79,1.91,1.05,1.84,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,Valencia,31,25.0,46.9,21,231,1890,21,20,11,31,17,3,3,48,1,21.4,19.0,14.4,33.5,310,706,0.95,0.52,1.48,0.81,1.33,1.02,0.69,1.71,0.91,1.59,/en/squads/dcc91a7b/Valencia-Stats
